41672,-0.00028724163583293246,0.0826
4630,-9.63734626607159e-06,0.051
9592,-3.261088414441777e-05,0.0235
2304,-7.839248045448338e-06,0.0071
60528,-0.000386747162330586,0.0625
11106,-5.208523412193481e-05,0.0619
12144,-1.8164644826511185e-05,0.0454
5860,-1.735670383309798e-05,0.0479
1726,-1.0931958313169905e-05,0.0756
8896,-2.4509618035707523e-05,0.0378
16018,-5.3745070994238125e-05,0.0316
1511,-4.970687240118831e-06,0.0534
16026,-0.0005103471401762524,0.4361
1653,-4.31618884824122e-05,0.3596
11512,-0.00014674804745134031,0.2616
2210,-3.715131311822513e-05,0.2675
8111,-0.00016780882614615656,0.375
41672,-0.0008799041250757588,0.3216
8896,-0.00015819249108661867,0.2949
3092,-5.497939339907628e-05,0.2387
16533,-0.0003263534375674811,0.363
4567,-0.00013451022310832995,0.4182
2285,-5.4464853351477615e-05,0.4198
4719,-0.00016926255304515207,0.3736
31915,-0.0008606771848760775,0.4261
4619,-7.607952773691312e-05,0.3105
1243,-1.7625855523224354e-05,0.2676
9961,-0.00012091757440937581,0.2831
11106,-0.0002593650834385209,0.358
6814,-0.00025032831936985534,0.4814
